City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Nalut,LY,2022-06-17 01:45:02,30.3333,10.85,74.39,29,0,10.78,clear sky
155,Sotnikovskoye,RU,2022-06-17 01:48:12,45.0039,43.7772,66.15,73,98,2.39,overcast clouds
156,La Ceiba,HN,2022-06-17 01:48:12,15.7597,-86.7822,76.82,88,75,2.3,broken clouds
157,New Norfolk,AU,2022-06-17 01:38:45,-42.7826,147.0587,49.91,74,100,3.53,moderate rain
158,Norman Wells,CA,2022-06-17 01:37:49,65.282,-126.8329,66.24,34,20,12.66,few clouds
159,Esperance,AU,2022-06-17 01:38:59,-33.8667,121.9,66.51,72,0,16.35,clear sky
160,Sitka,US,2022-06-17 01:38:28,57.0531,-135.33,70.48,45,40,5.28,scattered clouds
161,Pouebo,NC,2022-06-17 01:48:13,-20.4,164.5667,81.14,70,97,6.62,overcast clouds
162,Khandbari,NP,2022-06-17 01:48:14,27.3747,87.2039,75.7,77,51,1.81,broken clouds
163,Aloja,LV,2022-06-17 01:48:14,57.7669,24.8825,46.62,95,9,5.06,clear sky
164,Teabo,MX,2022-06-17 01:48:15,20.4,-89.2833,74.34,91,67,2.98,broken clouds
165,Plettenberg Bay,ZA,2022-06-17 01:48:15,-34.0527,23.3716,54.64,47,56,8.7,broken clouds
166,Cayenne,GF,2022-06-17 01:35:24,4.9333,-52.3333,75.09,1,0,0.0,clear sky
167,Mpongwe,ZM,2022-06-17 01:48:16,-13.5091,28.155,52.56,59,0,4.92,clear sky
168,Talnakh,RU,2022-06-17 01:43:09,69.4865,88.3972,52.21,93,100,9.57,moderate rain
169,Labuan,MY,2022-06-17 01:42:57,5.2767,115.2417,86.36,74,20,3.44,few clouds
170,Avarua,CK,2022-06-17 01:38:26,-21.2078,-159.775,80.65,65,40,5.75,scattered clouds
171,Kafue,ZM,2022-06-17 01:48:17,-15.7691,28.1814,57.31,51,0,4.05,clear sky
172,Baiquan,CN,2022-06-17 01:48:17,47.5833,126.0833,68.5,66,98,12.97,overcast clouds
173,Severnyy,RU,2022-06-17 01:48:17,50.677,36.5532,57.24,72,0,2.24,clear sky
174,Inirida,CO,2022-06-17 01:48:18,3.8653,-67.9239,71.56,97,56,0.34,broken clouds
175,Durban,ZA,2022-06-17 01:48:18,-29.8579,31.0292,52.02,78,12,5.99,few clouds
176,Kirkenes,NO,2022-06-17 01:48:19,69.7271,30.0458,40.15,87,100,12.66,light intensity drizzle
177,Matamoros,MX,2022-06-17 01:48:19,25.5333,-103.25,93.31,17,20,11.5,few clouds
178,Piskivka,UA,2022-06-17 01:48:20,50.6938,29.6193,58.48,68,100,4.23,overcast clouds
179,Nanortalik,GL,2022-06-17 01:38:52,60.1432,-45.2371,37.9,86,96,5.75,overcast clouds
180,Ostrovnoy,RU,2022-06-17 01:40:10,68.0531,39.5131,40.41,98,100,15.35,overcast clouds
181,Karasburg,NA,2022-06-17 01:48:21,-28.0167,18.75,56.28,25,54,12.59,broken clouds
182,Alofi,NU,2022-06-17 01:42:41,-19.0595,-169.9187,80.49,74,75,16.11,broken clouds
183,Atambua,ID,2022-06-17 01:48:21,-9.1061,124.8925,81.27,62,25,4.38,scattered clouds
184,Hasaki,JP,2022-06-17 01:39:42,35.7333,140.8333,77.29,81,100,9.78,overcast clouds
185,Tuktoyaktuk,CA,2022-06-17 01:38:39,69.4541,-133.0374,60.8,39,40,14.97,scattered clouds
186,Luangwa,ZM,2022-06-17 01:48:22,-15.6167,30.4167,61.32,71,0,4.38,clear sky
187,Tiksi,RU,2022-06-17 01:43:05,71.6872,128.8694,34.39,77,13,8.08,few clouds
188,Chuy,UY,2022-06-17 01:38:36,-33.6971,-53.4616,54.75,94,100,6.49,moderate rain
189,Nishihara,JP,2022-06-17 01:48:23,26.1842,127.7558,81.68,89,100,17.27,light rain
190,Leningradskiy,RU,2022-06-17 01:34:35,69.3833,178.4167,38.44,70,89,9.75,overcast clouds
191,Turukhansk,RU,2022-06-17 01:43:57,65.8167,87.9833,66.4,66,100,4.34,overcast clouds
192,San Carlos De Bariloche,AR,2022-06-17 01:48:23,-41.1456,-71.3082,40.75,81,40,19.57,scattered clouds
193,Nordby,DK,2022-06-17 01:48:24,55.446,8.3979,57.06,93,100,3.44,fog
194,Saint-Augustin,CA,2022-06-17 01:48:24,51.226,-58.6502,63.91,59,90,11.01,overcast clouds
195,Hambantota,LK,2022-06-17 01:35:53,6.1241,81.1185,77.34,100,40,4.61,scattered clouds
196,Beringovskiy,RU,2022-06-17 01:38:43,63.05,179.3167,46.42,72,15,5.55,few clouds
197,Makakilo City,US,2022-06-17 01:37:15,21.3469,-158.0858,82.72,61,75,14.97,broken clouds
198,Tabasalu,EE,2022-06-17 01:48:25,59.4303,24.5331,55.49,77,0,9.22,clear sky
199,Thompson,CA,2022-06-17 01:39:03,55.7435,-97.8558,46.56,81,100,17.27,overcast clouds
200,Juchitlan,MX,2022-06-17 01:48:26,20.0833,-104.1167,72.45,61,100,4.83,overcast clouds
201,Anadyr,RU,2022-06-17 01:48:26,64.75,177.4833,61.3,55,0,17.9,clear sky
202,Camacupa,AO,2022-06-17 01:48:26,-12.0167,17.4833,51.1,41,72,3.78,broken clouds
203,Paicandu,BR,2022-06-17 01:48:27,-23.4575,-52.0486,72.27,64,0,9.22,clear sky
