City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
209,Contai,IN,85.59,overcast clouds,21.7786,87.7536,PATHFINDER
213,Mazatlan,MX,82.9,broken clouds,23.2167,-106.4167,Hotel La Siesta
214,Mangaluru,IN,76.06,scattered clouds,12.8667,74.8833,Goldfinch Hotel Mangaluru
215,Mutis,CO,77.49,light rain,6.2262,-77.4044,Paraiso Escondido
216,Boone,US,89.85,clear sky,39.0334,-92.3335,Cottonwoods RV Park
219,Tukrah,LY,72.19,clear sky,32.5341,20.5791,Lagrota restaurant
220,Verkh-Usugli,RU,76.08,broken clouds,52.7,115.1667,"Gostinitsa ""Sever"""
225,Awjilah,LY,77.54,clear sky,29.1081,21.2869,المنزل
226,Hobyo,SO,78.1,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
227,Puerto Escondido,MX,79.63,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
228,Hurghada,EG,82.44,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
229,Touros,BR,72.93,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
230,Quatre Cocos,MU,70.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
231,Cognac,FR,73.0,clear sky,45.5,-0.25,Domaine de Pladuc
232,Biratnagar,NP,79.88,broken clouds,26.4831,87.2834,HOTEL SHUVA
233,Camacari,BR,78.57,broken clouds,-12.6975,-38.3242,Sítio Blasi
234,Garowe,SO,75.87,overcast clouds,8.4054,48.4845,Curubo Hotel
238,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
239,Defiance,US,89.58,clear sky,41.3334,-84.45,Airway Estates
240,Sarakhs,IR,80.74,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
241,Itarema,BR,75.36,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
242,Jatiroto,ID,80.96,scattered clouds,-7.8833,111.1167,Mushola Al Huda
245,Salinopolis,BR,77.76,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
247,Altoona,US,82.65,overcast clouds,40.5187,-78.3947,Cedar Grove Motel
248,Manta,EC,73.18,broken clouds,-0.95,-80.7333,Balandra Hotel
251,Dharchula,IN,76.41,broken clouds,29.85,80.5333,Mahara Hotel
252,San Policarpo,PH,84.24,scattered clouds,12.1791,125.5072,Agapita M. Nicart
256,Grass Valley,US,76.59,clear sky,39.2191,-121.0611,Holbrooke Hotel
260,Totness,SR,77.05,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
261,Zhanaozen,KZ,79.23,few clouds,43.3,52.8,K.korabay 28A
264,Cabo San Lucas,MX,88.9,few clouds,22.8909,-109.9124,Vista Roof Restaurant
266,Seoul,KR,72.97,mist,37.5683,126.9778,롯데호텔 서울
267,Naze,JP,74.32,light rain,28.3667,129.4833,Shishime Hotel
268,Isangel,VU,81.09,overcast clouds,-19.55,169.2667,Tanna Lodge
272,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
275,Sao Geraldo Do Araguaia,BR,74.34,broken clouds,-6.4006,-48.555,Hotel Por do Sol
276,Yamada,JP,75.07,overcast clouds,39.4667,141.95,Iroha-ya Inn
277,Kisangani,CD,70.54,light rain,0.5167,25.2,Grand Ramela Hotel
278,Diu,IN,84.09,overcast clouds,20.7141,70.9822,Hotel Relax Inn
280,Coahuayana,MX,78.82,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
284,Goderich,CA,71.92,clear sky,43.7501,-81.7165,Harmony Inn
287,Sijunjung,ID,77.23,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
290,Virginia Beach,US,80.02,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
291,Prainha,BR,72.28,scattered clouds,-1.8,-53.48,Casa Rocha
292,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
294,Majene,ID,82.94,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
295,Biak,ID,82.15,few clouds,-0.9131,122.8766,Penginapan Kim
297,Palatka,US,82.42,clear sky,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
299,Brandon,US,86.99,broken clouds,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
300,Morant Bay,JM,83.82,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
301,Ryotsu,JP,71.1,broken clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
304,Alexandria,EG,75.16,clear sky,31.2156,29.9553,Royal Crown Hotel
305,Pacific Grove,US,71.55,clear sky,36.6177,-121.9166,Lovers Point Inn
307,Gradistea,RO,70.11,overcast clouds,44.2333,27.2167,Stefy Residenze
312,Doka,SD,74.98,scattered clouds,13.5167,35.7667,Um Rakuba Refugee Camp
313,Chardara,KZ,78.8,scattered clouds,41.2547,67.9692,Жанаргул
316,Angoche,MZ,73.42,clear sky,-16.2325,39.9086,Guest House HESADA
317,Clarksburg,US,77.85,scattered clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
320,Maceio,BR,71.04,overcast clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
324,Raub,MY,79.34,overcast clouds,3.7899,101.857,Daniels Guest House Raub
325,Gimli,CA,71.62,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
330,Mangrol,IN,84.49,broken clouds,21.1167,70.1167,Hotel The Royal Honours
333,Anloga,GH,77.52,light rain,5.7947,0.8973,Pin Drop Hotel
334,Pouembout,NC,82.53,overcast clouds,-21.1333,164.9,Camping de Tipenga
341,Taft,IR,75.15,clear sky,31.7471,54.2088,عمارت ساعتی تفت
342,Siderno,IT,73.33,clear sky,38.2779,16.302,Grand Hotel President
344,Kedougou,SN,81.12,overcast clouds,12.5579,-12.1743,Relais de Kédougou
345,Bengkulu,ID,81.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
346,Callaway,US,84.94,few clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
350,Kalpi,IN,88.39,overcast clouds,26.1167,79.7333,DRx. Bablu yadav
351,Koutiala,ML,78.55,overcast clouds,12.3917,-5.4642,Hotel La Chaumiere
352,Mahibadhoo,MV,83.59,broken clouds,3.7833,72.9667,Omadhoo Inn
353,Faanui,PF,80.4,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
355,Willmar,US,75.22,clear sky,45.1219,-95.0433,Lakeview Inn
356,Camopi,GF,70.72,broken clouds,3.1655,-52.3158,La pousada
358,Kirakira,SB,83.88,broken clouds,-10.4544,161.9205,SanBiz Lodge
359,Bubaque,GW,79.29,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
364,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
365,Mumford,GH,74.86,moderate rain,5.2618,-0.759,Spanish Villa
366,Arcachon,FR,73.72,clear sky,44.5875,-1.0519,Hôtel All Suites Le Teich
367,Nueva Concepcion,GT,73.49,overcast clouds,14.2,-91.3,Hotel Villa Las Flores
368,North Platte,US,84.09,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
374,Villanueva De La Serena,ES,73.04,scattered clouds,38.9766,-5.7974,Hotel Veracruz
377,Tecoanapa,MX,77.95,overcast clouds,16.5167,-98.75,Hotel Manglares
379,Petawawa,CA,76.59,scattered clouds,45.9001,-77.3328,Petawawa River Inn & Suites
388,Bilma,NE,89.06,clear sky,18.6853,12.9164,Expeditions Ténére voyages
389,Kirando,TZ,71.26,clear sky,-7.4167,30.6,"Lake Shore Lodge, Tanganyika"
391,Bajil,YE,83.23,broken clouds,15.0584,43.2851,فندق حضرموت
392,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
393,Bandarbeyla,SO,78.82,overcast clouds,9.4942,50.8122,JABIR HOTEL
396,Port Blair,IN,82.44,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
398,Beira,MZ,71.69,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
399,Sai Buri,TH,82.11,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
400,Fairbanks,US,71.6,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
401,Kavieng,PG,84.51,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
402,Jalu,LY,77.86,clear sky,29.0331,21.5482,صاحبة الفخامة
404,Gondanglegi,ID,82.62,clear sky,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
406,Hamilton,US,86.85,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
408,Najran,SA,77.65,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
409,Lucea,JM,80.46,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
410,Wajima,JP,75.88,few clouds,37.4,136.9,Wajiima Onsen Yashio
415,Dabakala,CI,71.44,overcast clouds,8.3667,-4.4333,Hôtel Campement
418,Qeshm,IR,84.09,few clouds,26.9581,56.2719,Qeshm Kavan Hotel
420,Tual,ID,82.49,few clouds,-5.6667,132.75,Grand Vilia Hotel
426,La Libertad,EC,70.16,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
428,Pirganj,BD,83.32,light rain,25.8523,88.3618,Modern Hostel
431,Port-Gentil,GA,74.98,overcast clouds,-0.7193,8.7815,Fengshui Residence
434,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
435,Vinh,VN,85.64,overcast clouds,18.6667,105.6667,Vuong Hoan 2
436,Honiara,SB,87.22,clear sky,-9.4333,159.95,Heritage Park Hotel
437,Marsh Harbour,BS,81.14,clear sky,26.5412,-77.0636,Abaco Beach Resort
438,Thiruvananthapuram,IN,78.78,mist,8.4833,76.9167,Hotel Residency Tower
444,Lock Haven,US,75.9,overcast clouds,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
445,Thai Binh,VN,86.95,overcast clouds,20.45,106.3333,Sweden Hotel
449,Sao Goncalo Do Amarante,BR,76.12,few clouds,-3.6072,-38.9683,Sunshine Inn
453,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
459,Pringsewu,ID,78.13,overcast clouds,-5.3582,104.9744,Urban Style by Front One
461,Tazmalt,DZ,76.01,clear sky,36.3868,4.3989,Hôtel Numédia
462,Arnia,IN,76.59,few clouds,32.5167,74.8,Sachin
463,Kapit,MY,81.03,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
465,Carnarvon,AU,73.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
467,Banswada,IN,82.98,overcast clouds,18.3833,77.8833,KBR
469,Puerto Cabezas,NI,76.91,overcast clouds,14.0351,-83.3888,Cabaña Caribe
470,Mount Isa,AU,73.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
472,Daru,PG,80.91,broken clouds,-9.0763,143.2092,Daru Lodge
473,Lorengau,PG,83.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
475,French Harbor,HN,79.07,overcast clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
477,Sapulpa,US,89.28,clear sky,35.9987,-96.1142,Super 8 by Wyndham Sapulpa/Tulsa Area
480,Bhopal,IN,77.23,scattered clouds,23.2667,77.4,SPOT ON 63658 Shukla Lodge
482,Great Falls,US,85.39,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
